"No.","Time","Source","Destination","Protocol","Length","Info"
"123","9.049027155","192.168.87.13","192.168.87.17","TCP","74","45522  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791476 TSecr=0 WS=128"
"124","9.053425292","192.168.87.13","192.168.87.17","TCP","74","45524  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791480 TSecr=0 WS=128"
"125","9.056506089","192.168.87.13","192.168.87.17","TCP","74","45530  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791483 TSecr=0 WS=128"
"126","9.060044457","192.168.87.13","192.168.87.17","TCP","74","45544  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791487 TSecr=0 WS=128"
"127","9.063062292","192.168.87.13","192.168.87.17","TCP","74","45548  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791490 TSecr=0 WS=128"
"128","9.065975590","192.168.87.13","192.168.87.17","TCP","74","45556  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791493 TSecr=0 WS=128"
"129","9.069037781","192.168.87.13","192.168.87.17","TCP","74","45560  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791496 TSecr=0 WS=128"
"130","9.072073624","192.168.87.13","192.168.87.17","TCP","74","45564  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791499 TSecr=0 WS=128"
"131","9.076204153","192.168.87.13","192.168.87.17","TCP","74","45578  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791503 TSecr=0 WS=128"
"132","9.079982239","192.168.87.13","192.168.87.17","TCP","74","45584  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791507 TSecr=0 WS=128"
"133","9.084068549","192.168.87.13","192.168.87.17","TCP","74","45590  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791511 TSecr=0 WS=128"
"134","9.087459046","192.168.87.13","192.168.87.17","TCP","74","45602  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791514 TSecr=0 WS=128"
"135","9.091857624","192.168.87.13","192.168.87.17","TCP","74","45608  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791518 TSecr=0 WS=128"
"136","9.094345770","192.168.87.13","192.168.87.17","TCP","74","45614  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791521 TSecr=0 WS=128"
"137","9.098797096","192.168.87.13","192.168.87.17","TCP","74","45630  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791525 TSecr=0 WS=128"
"138","9.102014916","192.168.87.13","192.168.87.17","TCP","74","45638  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791528 TSecr=0 WS=128"
"139","9.105299093","192.168.87.13","192.168.87.17","TCP","74","45648  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791531 TSecr=0 WS=128"
"140","9.108230977","192.168.87.13","192.168.87.17","TCP","74","45656  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791535 TSecr=0 WS=128"
"141","9.111945570","192.168.87.13","192.168.87.17","TCP","74","45662  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791538 TSecr=0 WS=128"
"142","9.115613923","192.168.87.13","192.168.87.17","TCP","74","45668  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791542 TSecr=0 WS=128"
"143","9.118846662","192.168.87.13","192.168.87.17","TCP","74","45672  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791545 TSecr=0 WS=128"
"144","9.122064296","192.168.87.13","192.168.87.17","TCP","74","45676  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791548 TSecr=0 WS=128"
"145","9.125931641","192.168.87.13","192.168.87.17","TCP","74","45680  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791552 TSecr=0 WS=128"
"146","9.129083329","192.168.87.13","192.168.87.17","TCP","74","45688  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791555 TSecr=0 WS=128"
"147","9.132987096","192.168.87.13","192.168.87.17","TCP","74","45692  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791559 TSecr=0 WS=128"
"148","9.135863121","192.168.87.13","192.168.87.17","TCP","74","45704  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791562 TSecr=0 WS=128"
"149","9.139771445","192.168.87.13","192.168.87.17","TCP","74","45718  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791566 TSecr=0 WS=128"
"150","9.143023343","192.168.87.13","192.168.87.17","TCP","74","45730  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791569 TSecr=0 WS=128"
